id,year,date,county,city,cross_street,crash_type,manner,primary_factor,ssi_fatal,light,weather,surface,lat,lon
903070595,2018,2018-01-01,Marion,Lawrence,E MAIN ST & HAWKINS RD,Vehicle,RAN OFF ROAD,RAN OFF ROAD RIGHT,Fatal,DARK (NOT LIGHTED),CLEAR,ICE,39.8598442077637,-86.0023498535156
903070725,2018,2018-01-01,Hendricks,Plainfield,CENTER ST & CRESTPOINT LN,Vehicle,RAN OFF ROAD,RAN OFF ROAD RIGHT,SSI,DAYLIGHT,CLEAR,WET,39.7102203369141,-86.4045715332031
903073582,2018,2018-01-01,Marion,Indianapolis,STAFFORD RD & 56TH ST,Vehicle,HEAD ON BETWEEN TWO MOTOR VEHICLES,LEFT OF CENTER,SSI,DARK (LIGHTED),SNOW,SNOW/SLUSH,39.8627624511719,-86.1684341430664
903072433,2018,2018-01-02,Marion,Indianapolis,30TH ST & RURAL ST,Pedestrian,REAR END,FOLLOWING TOO CLOSELY,SSI,DAYLIGHT,CLEAR,WET,39.8107070922852,-86.1171875
903077272,2018,2018-01-03,Marion,Indianapolis,71ST ST & MICHIGAN RD,Vehicle,HEAD ON BETWEEN TWO MOTOR VEHICLES,LEFT OF CENTER,Fatal,DAYLIGHT,SNOW,WET,39.8835563659668,-86.2149047851563
903077273,2018,2018-01-03,Marion,Indianapolis,16TH ST & PRESCILLA AVE,Pedestrian,,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,Fatal,DARK (NOT LIGHTED),CLOUDY,WET,39.7889747619629,-86.0672607421875
903074577,2018,2018-01-04,Marion,Indianapolis,MCCARTY ST & MADISON AVE,Pedestrian,OTHER - EXPLAIN IN NARRATIVE,PEDESTRIAN ACTION,SSI,DAYLIGHT,CLEAR,DRY,39.7564926147461,-86.1572036743164
903076324,2018,2018-01-04,Marion,Indianapolis,MICHIGAN RD & COLD SPRINGS RD,Vehicle,NON-COLLISION,RAN OFF ROAD RIGHT,SSI,DARK (LIGHTED),CLEAR,DRY,39.838996887207,-86.1878356933594
903076325,2018,2018-01-04,Marion,Indianapolis,BINFORD BLVD & GRAHAM RD,Vehicle,LEFT TURN,FAILURE TO YIELD RIGHT OF WAY,SSI,DAYLIGHT,CLEAR,DRY,39.881275177002,-86.0694961547852
903076499,2018,2018-01-04,Hamilton,Carmel,I465E,Vehicle,HEAD ON BETWEEN TWO MOTOR VEHICLES,WRONG WAY ON ONE WAY,Fatal,DAYLIGHT,CLOUDY,DRY,39.9302444458008,-86.1527862548828
903081573,2018,2018-01-05,Hendricks,Plainfield,I70W,Vehicle,REAR END,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,SSI,DAYLIGHT,CLOUDY,DRY,39.6724967956543,-86.3594818115234
903075007,2018,2018-01-06,Hancock,,US40,Vehicle,RAN OFF ROAD,RAN OFF ROAD RIGHT,SSI,DARK (NOT LIGHTED),CLEAR,DRY,39.7808685302734,-85.8668365478516
903075741,2018,2018-01-06,Morgan,PARAGON,S LETTERMAN RD & N GRAVEYARD RD,Vehicle,RAN OFF ROAD,RAN OFF ROAD RIGHT,SSI,DARK (NOT LIGHTED),CLEAR,DRY,39.4168586730957,-86.5757598876953
903075868,2018,2018-01-07,Hendricks,Plainfield,VESTAL RD  & VANDALIA RAIL TRAIL,Pedestrian,COLLISION WITH OBJECT IN ROAD,UNSAFE SPEED,SSI,DARK (NOT LIGHTED),SLEET/HAIL/FREEZING RAIN,WET,39.7071990966797,-86.413948059082
903077243,2018,2018-01-07,Marion,Indianapolis,ENGLISH AVE & RANDOLPH ST,Vehicle,RIGHT ANGLE,FAILURE TO YIELD RIGHT OF WAY,SSI,DARK (LIGHTED),CLEAR,DRY,39.7597427368164,-86.1285171508789
903077274,2018,2018-01-07,Marion,Indianapolis,10TH ST,Vehicle,RAN OFF ROAD,UNSAFE SPEED,Fatal,DARK (LIGHTED),CLOUDY,WET,39.7792930603027,-86.2714157104492
903078571,2018,2018-01-09,Hamilton,Noblesville,OLIO RD & 146TH ST,Vehicle,HEAD ON BETWEEN TWO MOTOR VEHICLES,LEFT OF CENTER,SSI,DAWN/DUSK,CLOUDY,DRY,40.0016479492188,-85.9191055297852
903081536,2018,2018-01-09,Marion,Indianapolis,BLUFF RD & SOUTHPORT RD,Pedestrian,,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,Fatal,DARK (NOT LIGHTED),CLOUDY,WET,39.6553268432617,-86.1875228881836
903078487,2018,2018-01-10,Johnson,Greenwood,EMERSON AVE & MAPLE GROVE DR,Pedestrian,OTHER - EXPLAIN IN NARRATIVE,PEDESTRIAN ACTION,SSI,DARK (NOT LIGHTED),CLOUDY,WET,39.6227035522461,-86.0827713012695
903087121,2018,2018-01-10,Marion,Speedway,10TH ST & AUBURN HILL DR,Vehicle,RIGHT ANGLE,IMPROPER TURNING,SSI,DAYLIGHT,RAIN,WET,39.7798233032227,-86.2440032958984
903079074,2018,2018-01-11,Marion,Indianapolis,NORTH MERIDIAN ST & WEST 64TH ST,Vehicle,RIGHT ANGLE,FAILURE TO YIELD RIGHT OF WAY,SSI,DARK (LIGHTED),RAIN,WET,39.8733711242676,-86.1568222045898
903079173,2018,2018-01-11,Shelby,SHELBYVILLE,SR9N,Vehicle,OTHER - EXPLAIN IN NARRATIVE,LEFT OF CENTER,SSI,DAWN/DUSK,RAIN,WET,39.6555595397949,-85.7726440429688
903079201,2018,2018-01-11,Johnson,,US31S,Vehicle,SAME DIRECTION SIDESWIPE,FAILURE TO YIELD RIGHT OF WAY,SSI,DARK (NOT LIGHTED),RAIN,WET,39.3542633056641,-85.9830093383789
