,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
0,MassDOT,5070789,SOMERVILLE,2022,2022-01-02,2,01:28:00,Local,0,0,0.0,42.38252456,-71.10366667,0,2022-01-02 01:28:00,SomervillePD,22000143,SOMERVILLE,2022,2022-01-02,2,01:28:00,,0,0,0.0,42.3827,-71.1036,,2022-01-02 01:28:00,20.226506991842896,0.0,0.8584144510570997
1,SomervillePD,22000281,SOMERVILLE,2022,2022-01-03,2,06:53:00,,0,0,0.0,42.3908,-71.108,,2022-01-03 06:53:00,MassDOT,5070802,SOMERVILLE,2022,2022-01-03,2,06:53:00,Local,0,0,0.0,42.3909171,-71.10782991,0,2022-01-03 06:53:00,19.062732968657507,0.0,0.8665608692193973
2,SomervillePD,22000950,SOMERVILLE,2022,2022-01-07,0,10:15:00,,0,0,0.0,42.3893,-71.0953,,2022-01-07 10:15:00,MassDOT,5070744,SOMERVILLE,2022,2022-01-07,0,10:15:00,Local,0,0,0.0,42.38932541,-71.09500829,0,2022-01-07 10:15:00,24.080869446860433,0.0,0.8314339138719768
3,MassDOT,5070798,SOMERVILLE,2022,2022-01-08,0,07:36:00,Local,0,0,0.0,42.39660452,-71.10564907,0,2022-01-08 07:36:00,SomervillePD,22001090,SOMERVILLE,2022,2022-01-08,0,07:36:00,,0,0,0.0,42.3966,-71.1056,,2022-01-08 07:36:00,4.053583317605813,0.0,0.9716249167767592
4,MassDOT,5070803,SOMERVILLE,2022,2022-01-08,0,09:39:00,Local,0,0,0.0,42.39019063,-71.10987052,0,2022-01-08 09:39:00,SomervillePD,22001100,SOMERVILLE,2022,2022-01-08,0,09:39:00,,0,0,0.0,42.3904,-71.11,,2022-01-08 09:39:00,25.549519202985294,0.0,0.821153365579103
5,MassDOT,5070952,SOMERVILLE,2022,2022-01-08,0,14:46:00,Local,0,0,0.0,42.39437765,-71.0966238,0,2022-01-08 14:46:00,SomervillePD,22001125,SOMERVILLE,2022,2022-01-08,0,14:46:00,,0,0,0.0,42.3948,-71.0969,,2022-01-08 14:46:00,52.062102220398984,0.0,0.6355652844572071
6,SomervillePD,22001239,SOMERVILLE,2022,2022-01-09,0,13:02:00,,0,0,0.0,42.3962,-71.1209,,2022-01-09 13:02:00,MassDOT,5070788,SOMERVILLE,2022,2022-01-09,0,13:02:00,Local,0,0,0.0,42.39587465,-71.12088917,0,2022-01-09 13:02:00,36.12476024609594,0.0,0.7471266782773284
7,MassDOT,5070741,SOMERVILLE,2022,2022-01-09,0,16:20:00,Local,0,0,0.0,42.39882481,-71.12868092,0,2022-01-09 16:20:00,SomervillePD,22001255,SOMERVILLE,2022,2022-01-09,0,16:20:00,,0,0,0.0,42.3988,-71.1287,,2022-01-09 16:20:00,3.16703049484794,0.0,0.9778307865360643
8,MassDOT,5070799,SOMERVILLE,2022,2022-01-12,0,09:46:00,Local,0,0,0.0,42.38668903,-71.10464758,0,2022-01-12 09:46:00,SomervillePD,22001670,SOMERVILLE,2022,2022-01-12,0,09:46:00,,0,0,0.0,42.3867,-71.1044,,2022-01-12 09:46:00,20.334567215506073,0.0,0.8576580294914575
9,SomervillePD,22001821,SOMERVILLE,2022,2022-01-13,0,06:06:00,,0,0,0.0,42.3869,-71.1161,,2022-01-13 06:06:00,MassDOT,5070796,SOMERVILLE,2022,2022-01-13,0,06:06:00,Local,0,0,0.0,42.3869103,-71.11615302,0,2022-01-13 06:06:00,4.494718571637822,0.0,0.9685369699985351
