,testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL,PEDESTRIAN,CYCLIST,OTHER
0,5059685, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
1,5053438, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
2,5059947, VU1: Pedestrian,V1:(Collision with pedestrian) / V2:(Collision with pedestrian),1,0,0
3,5061858, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
4,5112584, VU2: Other,V1:(Collision with tree),0,0,1
5,5064939, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
6,5056248, VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Collision with motor vehicle in traffic)",0,1,0
7,5073131, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
8,5084224, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
9,5095111, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
10,5096810, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
11,5101021, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
12,5114282, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
13,5117789, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
14,5125300, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
15,5133904, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
16,5135551, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
17,5059479, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
18,5142467, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
19,5059584, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
20,5143554, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
21,5147065, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
22,5150828, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
23,5153625, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
24,5060115, VU2: Bicyclist,V1:(Collision with pedestrian),1,1,0
25,5154159, VU1: Pedestrian,V1:(Collision with pedestrian) / V2:(Collision with pedestrian),1,0,0
26,5162369, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
27,5143476, VU2: Pedestrian,,1,0,0
28,5166818, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
29,5156816, VU2: Pedestrian,V1:(Collision with motor vehicle in traffic),1,0,0
30,5167568, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
31,5168443, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
32,5238535, VU2: Pedestrian,V1:(Collision with fence),1,0,0
33,5464697, VU3: Electric Personal Assistive Mobility Device User,V1:(Collision with Other Vulnerable Users),1,0,1
34,5170177, VU1: Pedestrian,V1:(Collision with pedestrian) / V2:(Collision with pedestrian),1,0,0
35,5173756, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
36,5175047, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
37,5185987, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
38,5190457, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
39,5190459, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
40,5197308, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
41,5198982, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
42,5062298, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
43,5452350, VU3: Motorized Scooter Rider,V1:(Collision with Other Vulnerable Users),0,0,1
44,5204548, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
45,5208645, VU1: Pedestrian,V1:(Collision with pedestrian),1,0,0
46,5377950, VU3: Pedestrian,V1:(Collision with motor vehicle in traffic),1,0,0
47,5063962, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,0
48,5084225, VU1: Pedestrian / VU2: Pedestrian,V1:(Collision with pedestrian),1,0,0
49,5207768, VU1: Pedestrian / VU2: Pedestrian,V1:(Collision with pedestrian),1,0,0
50,5141299, VU4: Other,V1:(Invalid Code Specified) / V2:(Invalid Code Specified) / V3:(Invalid Code Specified),0,0,1
51,5186499, VU1: Pedestrian / VU4: Pedestrian,V1:(Collision with pedestrian),1,0,0
52,5104157, VU2: Bicyclist / VU3: Other,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))",0,1,1
