testid,NON_MTRST_TYPE_CL,MOST_HRMFL_EVT_CL
5059685, VU1: Pedestrian,V1:(Collision with pedestrian)
5053438, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5059947, VU1: Pedestrian,V1:(Collision with pedestrian) / V2:(Collision with pedestrian)
5061858, VU1: Pedestrian,V1:(Collision with pedestrian)
5112584, VU2: Other,V1:(Collision with tree)
5064939, VU1: Pedestrian,V1:(Collision with pedestrian)
5056248, VU3: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car)) / V2:(Collision with motor vehicle in traffic)"
5073131, VU1: Pedestrian,V1:(Collision with pedestrian)
5084224, VU1: Pedestrian,V1:(Collision with pedestrian)
5095111, VU1: Pedestrian,V1:(Collision with pedestrian)
5096810, VU1: Pedestrian,V1:(Collision with pedestrian)
5101021, VU1: Pedestrian,V1:(Collision with pedestrian)
5114282, VU1: Pedestrian,V1:(Collision with pedestrian)
5117789, VU1: Pedestrian,V1:(Collision with pedestrian)
5125300, VU1: Pedestrian,V1:(Collision with pedestrian)
5133904, VU1: Pedestrian,V1:(Collision with pedestrian)
5135551, VU1: Pedestrian,V1:(Collision with pedestrian)
5059479, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5142467, VU1: Pedestrian,V1:(Collision with pedestrian)
5059584, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5143554, VU1: Pedestrian,V1:(Collision with pedestrian)
5147065, VU1: Pedestrian,V1:(Collision with pedestrian)
5150828, VU1: Pedestrian,V1:(Collision with pedestrian)
5153625, VU1: Pedestrian,V1:(Collision with pedestrian)
5060115, VU2: Bicyclist,V1:(Collision with pedestrian)
5154159, VU1: Pedestrian,V1:(Collision with pedestrian) / V2:(Collision with pedestrian)
5162369, VU1: Pedestrian,V1:(Collision with pedestrian)
5143476, VU2: Pedestrian,
5166818, VU1: Pedestrian,V1:(Collision with pedestrian)
5156816, VU2: Pedestrian,V1:(Collision with motor vehicle in traffic)
5167568, VU1: Pedestrian,V1:(Collision with pedestrian)
5168443, VU1: Pedestrian,V1:(Collision with pedestrian)
5238535, VU2: Pedestrian,V1:(Collision with fence)
5464697, VU3: Electric Personal Assistive Mobility Device User,V1:(Collision with Other Vulnerable Users)
5170177, VU1: Pedestrian,V1:(Collision with pedestrian) / V2:(Collision with pedestrian)
5173756, VU1: Pedestrian,V1:(Collision with pedestrian)
5175047, VU1: Pedestrian,V1:(Collision with pedestrian)
5185987, VU1: Pedestrian,V1:(Collision with pedestrian)
5190457, VU1: Pedestrian,V1:(Collision with pedestrian)
5190459, VU1: Pedestrian,V1:(Collision with pedestrian)
5197308, VU1: Pedestrian,V1:(Collision with pedestrian)
5198982, VU1: Pedestrian,V1:(Collision with pedestrian)
5062298, VU2: Bicyclist,"V1:(Collision with cyclist (bicycle, tricycle, unicycle, pedal car))"
5452350, VU3: Motorized Scooter Rider,V1:(Collision with Other Vulnerable Users)
