SOURCE,TESTID,CRASH_DATE_TEXT,CRASH_TIME_2,LAT,LON
MassDOT,A-keep,01 01 2022,2:10 AM,42.3389175,-71.10728272
Xsource,A+1min,01 01 2022,2:11 AM,42.3389175,-71.10728272
Esource,B-triple-reverse-order,01 01 2022,7:15 AM,42.3569228,-71.11990568
Fsource,B+1min,01 01 2022,7:16 AM,42.3569228,-71.11990568
MassDOT,Bkeep+10min,01 01 2022,7:25 AM,42.3569228,-71.11990568
MassDOT,Ckeep,01 01 2022,1:53 PM,42.34279714,-71.06175819
MassDOT,C+same_source_and_time,01 01 2022,1:53 PM,42.34279714,-71.06175819
MassDOT,C+same_source+1min,01 01 2022,1:54 PM,42.34279714,-71.06175819
Qsource,D-reverse-pair-hour,01 01 2022,6:12 PM,42.36111,-71.0589
MassDOT,Dkeep+60min,01 01 2022,7:12 PM,42.36111,-71.0589
Xsource,Ekeep,01 01 2022,8:02 AM,42.30140863,-71.06911981
MassDOT,E-blankgeo,01 01 2022,8:02 AM,,
Xsource,F,01 01 2022,12:07 PM,42.37839954,-71.13363228
MassDOT,Fkeep+0.01lat+0.01lng,01 01 2022,12:07 PM,42.38839954,-71.12363228
