,A_SOURCE,A_ID,A_MUNI,A_YEAR,A_CRASH_DATE,A_SEVERITY,A_CRASH_TIME,A_POLICE,A_CYCLIST,A_PEDESTRIAN,A_OTHER,A_LAT,A_LON,A_INTERSTATE,A_datetime,B_SOURCE,B_ID,B_MUNI,B_YEAR,B_CRASH_DATE,B_SEVERITY,B_CRASH_TIME,B_POLICE,B_CYCLIST,B_PEDESTRIAN,B_OTHER,B_LAT,B_LON,B_INTERSTATE,B_datetime,distance_m,time_diff_sec,confidence
0,BostonVisionZero,4747,BOSTON,2021,2021-02-07,,03:19:44,,0,0,1,42.33262014368461,-71.07201818804987,,2021-02-07 03:19:44,MassDOT,4933025,BOSTON,2021,2021-02-07,0,03:45:00,State,0,0,0,42.33274746,-71.07213447,0,2021-02-07 03:45:00,17.051698502510305,1516.0,0.7543047771490945
1,MassDOT,4995378,BOSTON,2021,2021-08-09,0,16:10:00,State,0,0,0,42.37021995,-71.06476948,1,2021-08-09 16:10:00,BostonVisionZero,10517,BOSTON,2021,2021-08-09,,16:12:58,,0,0,1,42.36957999607135,-71.06433947461069,,2021-08-09 16:12:58,79.3062372180037,178.0,0.4300230061406407
2,BostonVisionZero,9879,BOSTON,2021,2021-08-19,,17:35:11,,1,0,0,42.31941680301341,-71.07556121537029,,2021-08-19 17:35:11,MassDOT,5012166,BOSTON,2021,2021-08-19,2,18:34:00,Local,1,0,0,42.31933848,-71.07518223,0,2021-08-19 18:34:00,32.296875255965006,3529.0,0.4798385398749116
3,BostonVisionZero,27027,BOSTON,2021,2021-09-09,,13:57:42,,0,0,1,42.353656503562426,-71.05361019963685,,2021-09-09 13:57:42,MassDOT,5008715,BOSTON,2021,2021-09-09,2,14:17:00,State,0,0,0,42.35393879,-71.05314624,1,2021-09-09 14:17:00,49.297373877236,1158.0,0.558418382859348
4,MassDOT,5067186,BOSTON,2022,2022-01-20,0,13:50:00,State,0,0,0,42.36097269,-71.11779132,0,2022-01-20 13:50:00,BostonVisionZero,23087,BOSTON,2022,2022-01-20,,14:18:33,,1,0,0,42.36010418886195,-71.11752429146709,,2022-01-20 14:18:33,98.86018913335245,1713.0,0.16522867606653285
5,BostonVisionZero,17583,BOSTON,2022,2022-03-06,,16:35:24,,0,0,1,42.30014448398101,-71.04967027617751,,2022-03-06 16:35:24,MassDOT,5077838,BOSTON,2022,2022-03-06,0,17:03:00,State,0,0,0,42.30062503,-71.04914679,0,2022-03-06 17:03:00,68.50033794640039,1656.0,0.38249763437519724
6,MassDOT,5449199,BOSTON,2022,2022-03-18,0,16:49:00,Local,0,0,0,42.33373277,-71.08258144,0,2022-03-18 16:49:00,BostonVisionZero,3972,BOSTON,2022,2022-03-18,,17:40:53,,0,0,1,42.3338261496791,-71.08251021213488,,2022-03-18 17:40:53,11.899396711389103,3113.0,0.6572875563536095
7,MassDOT,5096515,BOSTON,2022,2022-04-16,0,00:40:00,State,0,0,0,42.36405765,-71.05808411,1,2022-04-16 00:40:00,BostonVisionZero,14926,BOSTON,2022,2022-04-16,,00:49:42,,0,0,1,42.36431896907301,-71.05838976991437,,2022-04-16 00:49:42,38.33822106654805,582.0,0.6831324525341635
8,MassDOT,5436732,BOSTON,2022,2022-10-09,0,20:29:00,Local,0,0,0,42.32772177,-71.07513866,0,2022-10-09 20:29:00,BostonVisionZero,34897,BOSTON,2022,2022-10-09,,21:23:25,,0,0,1,42.32788654960194,-71.07513131512289,,2022-10-09 21:23:25,18.30046442653124,3265.0,0.599813415680948
9,MassDOT,5167626,BOSTON,2022,2022-10-13,0,21:50:00,State,0,0,0,42.3008733,-71.04874185,1,2022-10-13 21:50:00,BostonVisionZero,18173,BOSTON,2022,2022-10-13,,22:35:22,,0,0,1,42.30146550561281,-71.0495744777996,,2022-10-13 22:35:22,94.83536803587691,2722.0,0.1093190904155283
10,BostonVisionZero,24053,BOSTON,2022,2022-12-01,,12:53:01,,1,0,0,42.29868030969056,-71.08665732939623,,2022-12-01 12:53:01,MassDOT,5381960,BOSTON,2022,2022-12-01,2,12:59:00,Local,1,0,0,42.29814797,-71.0870246,0,2022-12-01 12:59:00,66.33859204504795,359.0,0.5057131890179976
11,MassDOT,5382872,BOSTON,2022,2022-12-06,0,15:36:00,Local,0,0,0,42.31732598,-71.09679897,0,2022-12-06 15:36:00,BostonVisionZero,16208,BOSTON,2022,2022-12-06,,16:32:13,,0,0,1,42.31733445683931,-71.09678415476978,,2022-12-06 16:32:13,1.537517146420287,3373.0,0.7081540466417247
